location,square_footage,bedrooms,bathrooms,property_type,year_built,distance_to_tube_km,amenities,price
Hackney,1167.0,3,3,Flat,1985,0.6970458069533999,"garage, lift, study",1926992.0
Kingston upon Thames,623.0,1,2,Flat,1989,0.7314407565980312,"cellar, ensuite, lift, near_tube, new_build",161448.0
Harrow,250.0,5,2,Studio,1897,3.7526108380852055,"balcony, parking",120000.0
Bexley,320.0,4,1,Studio,1865,0.07610037680429008,"balcony, garage, gym",120000.0
Bexley,1276.0,3,1,Flat,1985,0.11159939872941495,"balcony, cellar, loft, near_tube, study",2101299.0
Redbridge,730.0,2,2,Maisonette,1864,0.4714439936891246,"ensuite, new_build, parking",199932.0
Hackney,625.0,2,3,Flat,1985,0.10435168664085501,"garage, garden, gym, loft, new_build, parking",317214.0
Hillingdon,1343.0,3,3,Studio,1911,0.1371314191643453,"ensuite, lift, new_build",1953157.0
Lambeth,1230.0,1,3,Detached,1972,0.7693397305342963,"ensuite, garden, lift, river_view",2031845.0
Hammersmith and Fulham,857.0,2,1,Flat,1956,1.297768608821707,"lift, loft, new_build, study",928501.0
Croydon,762.0,2,1,Terraced,1856,0.7453363130817859,"ensuite, gym, new_build, parking, river_view",235854.0
Barking and Dagenham,810.0,1,2,Semi-Detached,1851,1.3550365494818029,"balcony, concierge, ensuite, river_view",293658.0
Hounslow,918.0,1,2,Flat,1959,1.7849115191903284,"garden, gym, parking",805464.0
Kingston upon Thames,1330.0,2,1,Flat,1939,1.1912627588287292,"balcony, garage, near_tube, new_build, river_view",2078561.0
Hillingdon,977.0,2,2,Terraced,1857,1.3523248369109042,"concierge, ensuite, lift, loft, river_view",818413.0
Kingston upon Thames,1068.0,2,3,Flat,2019,0.8236261428256736,parking,1478617.0
Bromley,1201.0,4,1,Flat,1891,0.6957887750498835,"concierge, garage, lift, park_view",1824427.0
Islington,499.0,3,3,Flat,1999,0.09244824816150778,"garden, lift, near_tube, new_build, parking, river_view",120000.0
Newham,1076.0,1,2,Semi-Detached,1870,1.84901013383182,"concierge, ensuite, garden, gym",1229782.0
Bexley,762.0,5,2,Flat,1890,1.1517045366066132,"cellar, ensuite, garden, gym, river_view, study",387584.0
Bromley,250.0,4,2,Terraced,1942,1.2794754876974663,"lift, park_view, parking",120000.0
City of London,250.0,3,3,Flat,1941,0.2572223516059781,"river_view, study",120000.0
Lambeth,545.0,1,2,Flat,1955,0.4976461083601959,"lift, near_tube, river_view",120000.0
Sutton,1009.0,5,1,Semi-Detached,1879,0.7887373982329812,gym,997550.0
Kingston upon Thames,884.0,4,1,Flat,1895,0.3704857031025779,garage,856412.0
Harrow,905.0,3,3,Semi-Detached,1895,1.1779044704414818,"gym, new_build, park_view, parking",786230.0
Barnet,1435.0,1,1,Flat,1926,1.1180796824039396,loft,2536764.0
Newham,469.0,1,3,Semi-Detached,2010,1.0659152268407168,cellar,120000.0
Croydon,842.0,2,2,Flat,1930,1.829779980523256,"ensuite, near_tube, study",542551.0
Bexley,941.0,2,1,Detached,2023,1.198399048618605,"gym, park_view",851488.0
Bexley,629.0,2,1,Flat,1893,2.455915204455499,"balcony, loft",120000.0
Lewisham,858.0,3,3,Maisonette,1892,1.2287920743037506,"near_tube, new_build, park_view, river_view",757081.0
Hammersmith and Fulham,370.0,1,1,Flat,1867,0.5880600820378823,"loft, river_view",120000.0
Ealing,1273.0,2,1,Flat,1886,0.9916283865282909,"balcony, garage, lift, near_tube",1875773.0
Richmond upon Thames,646.0,5,1,Terraced,1904,0.05,"garage, near_tube, parking",388821.0
Hackney,1459.0,5,2,Flat,1916,1.2904482455157729,"garden, study",2565104.0
Redbridge,840.0,1,3,Terraced,1974,0.5110761253432448,"garage, garden, near_tube, new_build, study",779403.0
Newham,1158.0,4,1,Detached,1927,1.0983929877710372,"cellar, concierge, garden, gym, lift, parking",1684331.0
Tower Hamlets,834.0,5,3,Semi-Detached,1969,0.5808561840327159,"ensuite, garden, near_tube, new_build, parking",950249.0
Haringey,841.0,3,3,Terraced,1865,0.37076086245201334,"parking, study",677004.0
Kensington and Chelsea,675.0,2,1,Studio,2014,2.977768633286217,"loft, near_tube, parking, study",671739.0
Kingston upon Thames,886.0,3,1,Terraced,1875,0.5715948417361698,park_view,559766.0
Hillingdon,945.0,2,2,Flat,1855,0.4863307583016248,cellar,896114.0
Westminster,615.0,2,1,Detached,1923,1.6531969518299372,garage,377048.0
Hackney,812.0,5,1,Flat,1963,0.7689918150655697,"concierge, ensuite, garden, lift, river_view",726550.0
Barking and Dagenham,667.0,4,2,Flat,1890,0.5358933171196366,"concierge, ensuite, garden, lift, loft, new_build",120000.0
