location,square_footage,bedrooms,bathrooms,property_type,year_built,distance_to_tube_km,amenities,price
Hackney,737.0,5,2,Studio,1940,2.4508282754636905,"balcony, garden, gym, new_build, park_view, study",485770.0
Kingston upon Thames,713.0,5,2,Flat,1881,0.14118782385859704,new_build,390026.0
Harrow,1081.0,4,2,Flat,1925,1.1050163689637278,"balcony, concierge, park_view, parking, river_view",1426695.0
Bexley,1096.0,3,3,Semi-Detached,2006,2.17594876893547,loft,1374888.0
Bexley,689.0,2,1,Flat,1885,0.8512455032416993,"cellar, lift, loft, river_view",120000.0
Redbridge,729.0,1,2,Semi-Detached,2023,1.1959552144026593,"lift, parking",382338.0
Hackney,1012.0,4,1,Terraced,1881,0.5547444629856516,"cellar, study",1211022.0
Hillingdon,602.0,1,1,Terraced,1965,0.901049266011985,"balcony, garage, gym, park_view, parking, river_view",120000.0
Lambeth,727.0,4,1,Terraced,1961,0.689128220421818,"balcony, cellar",535318.0
Hammersmith and Fulham,877.0,3,3,Terraced,1884,0.1175234373456705,"ensuite, lift, near_tube, study",1105324.0
Croydon,1149.0,4,2,Flat,1932,4.376677348995138,"balcony, concierge, gym, loft, river_view",1522767.0
Barking and Dagenham,669.0,5,3,Flat,1875,1.5129550635432614,"ensuite, garden, gym, near_tube, new_build",125400.0
Hounslow,297.0,3,3,Flat,1913,2.3922386778500706,"parking, river_view",120000.0
Kingston upon Thames,275.0,3,2,Maisonette,2016,1.9010052948266538,"ensuite, garden, lift",120000.0
Hillingdon,472.0,3,3,Flat,1859,0.3057706233304774,"concierge, garden, park_view, parking",120000.0
Kingston upon Thames,456.0,2,1,Flat,2001,1.3069435948270216,"concierge, gym, new_build, parking",120000.0
Bromley,804.0,1,3,Flat,1967,1.0113777904927896,river_view,466711.0
Islington,493.0,1,1,Flat,1980,1.264899288498288,"balcony, ensuite, garage, lift",120000.0
Newham,639.0,4,2,Flat,1899,1.4163823971264387,ensuite,120000.0
Bexley,618.0,5,3,Semi-Detached,2015,0.4802937414918157,"concierge, ensuite, park_view, parking",243852.0
Bromley,718.0,1,3,Flat,1894,1.2162465692866626,"balcony, garage, garden, gym, near_tube",120000.0
City of London,1247.0,2,1,Semi-Detached,1937,1.9261768388586222,"balcony, concierge, park_view",2385159.0
Lambeth,1049.0,4,3,Flat,1856,2.173043186039299,"loft, new_build",1386749.0
Sutton,855.0,4,1,Terraced,2004,0.48451209912186466,"concierge, near_tube",739922.0
Kingston upon Thames,712.0,4,3,Flat,1972,1.104077285522518,"cellar, concierge, garden, gym, parking",410941.0
Harrow,720.0,4,2,Semi-Detached,1878,0.8883164838834635,"balcony, new_build, study",261956.0
Barnet,948.0,1,1,Maisonette,1965,1.6446757091267776,"balcony, cellar, ensuite, garden, gym, park_view",1102976.0
Newham,1025.0,2,3,Flat,1881,0.3085912503802479,"balcony, concierge, garage, gym, lift, near_tube",1191701.0
Croydon,578.0,3,3,Studio,1927,0.714597029352871,"garden, park_view, study",120000.0
Bexley,861.0,1,1,Flat,1939,0.28188649996005494,"ensuite, new_build",499590.0
Bexley,250.0,2,1,Terraced,2012,0.8629993925735506,"gym, lift, loft, new_build, parking",120000.0
Lewisham,914.0,2,1,Semi-Detached,1907,1.6014017982358386,"lift, near_tube, park_view, river_view, study",794061.0
Hammersmith and Fulham,1079.0,5,2,Flat,1852,0.7906626376351257,lift,1548180.0
Ealing,766.0,2,2,Flat,1925,0.6430603445391031,"balcony, concierge, ensuite, loft, river_view, study",463002.0
Richmond upon Thames,1395.0,5,3,Flat,2011,1.7568925274764868,"ensuite, gym",2643386.0
Hackney,586.0,4,3,Semi-Detached,1988,0.717912796232321,"garage, loft, new_build, river_view",120000.0
Redbridge,915.0,4,1,Flat,1860,0.3409606471924212,"garage, lift",677669.0
Newham,839.0,5,2,Maisonette,1859,1.8324897300653094,"ensuite, gym, park_view",577002.0
Tower Hamlets,820.0,5,3,Flat,1981,3.1018687294034675,"ensuite, garage, loft, new_build",776087.0
Haringey,816.0,2,3,Maisonette,1975,1.8418784882360082,concierge,714800.0
Kensington and Chelsea,882.0,3,1,Flat,1946,0.8866158098591873,"concierge, near_tube",1233872.0
Kingston upon Thames,1104.0,3,1,Terraced,1865,0.9670876189379409,"balcony, ensuite, garage, gym, new_build",1417436.0
Hillingdon,1263.0,5,1,Flat,1898,0.4140036813275341,"balcony, cellar, garage, near_tube, river_view, study",1953404.0
Westminster,849.0,1,2,Flat,1997,2.646508563438211,"balcony, cellar, garage, garden, gym, lift",1021043.0
Hackney,1095.0,3,2,Flat,1874,1.3001114299761516,"balcony, garden, loft, new_build, study",1393346.0
Barking and Dagenham,639.0,2,2,Semi-Detached,1885,0.8826344122326987,"balcony, cellar, garden, gym, lift, park_view",120000.0
Bexley,1080.0,2,1,Flat,1928,0.9354683546075582,study,1382509.0
Richmond upon Thames,621.0,4,2,Terraced,1977,0.8052907321777406,"ensuite, river_view",393136.0
Havering,1177.0,2,1,Studio,1994,0.5655750745205941,"cellar, park_view, study",1721701.0
Kingston upon Thames,1513.0,4,2,Flat,1952,2.920766811253896,"balcony, garage, garden, loft, near_tube, parking",2757805.0
Kingston upon Thames,813.0,5,1,Flat,1935,0.7557359869018504,"ensuite, gym, near_tube, parking, river_view",746982.0
Lambeth,250.0,4,3,Flat,1917,0.2055757281428917,"garden, near_tube, parking",120000.0
City of London,686.0,1,2,Flat,1857,2.0060083284469896,concierge,541753.0
Brent,1220.0,1,1,Terraced,1896,2.3705713389688916,"concierge, ensuite, garage, gym",1745818.0
Bromley,1016.0,3,3,Semi-Detached,1887,0.7239183326730374,"cellar, garage",1147308.0
Greenwich,925.0,3,3,Flat,1859,2.4792514529666074,"loft, new_build",691292.0
Ealing,1153.0,4,1,Flat,1979,0.42457523567721606,"garden, park_view",1619410.0
Kensington and Chelsea,995.0,3,1,Terraced,1911,1.665125668315495,"balcony, ensuite",1614827.0
Hounslow,1215.0,1,1,Flat,1938,1.614382365656987,"cellar, loft",1647205.0
