location,square_footage,bedrooms,bathrooms,property_type,year_built,distance_to_tube_km,amenities
Southwark,259.0,1,3,Terraced,1904,1.246773130599906,"near_tube, park_view"
City of London,1226.0,4,2,Flat,1911,1.807881552440321,"garden, new_build, river_view"
City of London,543.0,1,3,Flat,1969,0.44522083673164187,"ensuite, lift, study"
Barking and Dagenham,1247.0,2,2,Flat,1919,0.7087665497372737,"ensuite, garage, near_tube, new_build, parking"
Ealing,577.0,4,1,Detached,1962,1.12175739896484,"cellar, concierge, garage, lift"
Kingston upon Thames,720.0,4,3,Flat,1863,0.16395294372080074,"concierge, loft, new_build, river_view"
Newham,996.0,1,1,Semi-Detached,1917,1.5993301079705269,"lift, loft, near_tube, park_view, parking"
Camden,1209.0,2,2,Terraced,1895,0.6889692704007458,"concierge, ensuite, garage, gym, new_build"
Enfield,783.0,1,2,Maisonette,1859,1.4675526545145852,"ensuite, loft, new_build, park_view, parking, study"
Tower Hamlets,800.0,3,2,Semi-Detached,1915,0.4871999000693017,garage
Brent,617.0,1,2,Semi-Detached,1897,2.8465935680042844,"cellar, new_build"
Ealing,778.0,1,3,Terraced,1939,1.1842003918045172,"cellar, garden, lift, loft, river_view, study"
Brent,250.0,1,2,Flat,1914,4.228975362118027,"garage, river_view, study"
Bexley,1184.0,5,3,Studio,1872,1.4222912442313647,"concierge, garden, lift, loft, new_build, park_view"
Islington,1293.0,2,2,Flat,1895,0.9580068398083879,"balcony, concierge, ensuite, garden, near_tube"
Kingston upon Thames,701.0,3,1,Semi-Detached,1943,0.3373904255723222,"balcony, cellar, concierge, gym, park_view"
Croydon,1047.0,2,1,Semi-Detached,1991,1.6042136403858562,"balcony, cellar, garage, new_build, study"
Sutton,912.0,5,2,Flat,1878,1.290564167538833,garage
Lambeth,1151.0,3,3,Flat,1986,1.2469629044510966,"balcony, cellar, garage, loft"
Lambeth,1318.0,1,2,Terraced,1876,0.9312295367100849,garden
Croydon,407.0,1,1,Detached,1939,0.2624257750086746,"ensuite, lift, loft, near_tube, park_view, parking"
Hillingdon,956.0,3,2,Flat,1966,0.8886508648325838,"cellar, parking, river_view"
Enfield,799.0,4,3,Terraced,2012,0.4126714646668729,"cellar, ensuite, garage, parking, river_view"
Redbridge,896.0,1,1,Terraced,1890,0.7358328643803466,"balcony, lift, loft, near_tube, park_view"
Camden,725.0,1,3,Flat,1889,1.7454138679313977,"cellar, concierge, garage, gym, loft, near_tube"
